1998-09-16,GAM,28.5,28.69,28.5,28.69,18100,1998
1998-06-22,GWR,21,21,20,21,13500,1998
1998-01-23,GAM,25.19,25.25,25.19,25.38,26600,1998
1998-11-11,GAB,9.86,9.65,9.6,9.86,94100,1998
1998-10-27,GPC,29.33,29.1,29.04,29.63,299600,1998
1998-10-21,GPC,29.27,29.69,29.04,29.98,286600,1998
1998-12-08,GRR,6.44,6.38,6.38,6.5,135200,1998
1998-01-07,GPS,35,35.63,34.44,35.63,1086800,1998
1998-05-05,GAS,37.25,37.66,37.14,37.66,68500,1998
1998-02-03,GES,5.06,5.25,5.06,5.25,75600,1998
1998-01-14,GFF,15,15.06,15,15.13,12400,1998
1998-09-08,GMT,31.25,32.79,31.25,32.79,138400,1998
1998-01-27,GET,30.26,29.96,29.96,30.97,128900,1998
1998-10-05,GPK,7.05,7.01,7.01,7.08,14900,1998
1998-11-27,GIL,7.44,7.44,7.44,7.44,1600,1998
1998-04-01,GIS,72.05,71.93,71.1,72.05,615600,1998
1998-12-31,GVA,33.31,33.56,33.25,33.56,121600,1998
1998-12-03,GF,11.52,11.24,11.24,11.57,89800,1998
1998-07-07,GWR,21,22,21,22,94500,1998
1998-01-30,GLW,33.88,34.19,33.38,34.69,2736000,1998
1998-09-14,GG,4.38,4.38,4.38,4.38,0,1998
1998-02-02,GG,4.56,4.56,4.56,4.56,0,1998
1998-01-15,GRR,7.06,7.06,7,7.18,603500,1998
1998-06-10,GPI,16.5,16.5,16.5,16.75,11200,1998
